Tick,Behaviour,Price,TicksToFuel,Requests,WaitingLine,Attending,GasPumps,FuelSold,Collaborative,Adventurous,PriceMean,PriceStdDev,MaxPrice,MinPrice,IntoleranceMean,IntoleranceStdDev,FuelToBuyMean,FuelToBuyStdDev,FuelSoldBtwTicks
0.0,3.0,1.445146196413888,29.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,1.942780828261624,28.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,1.7220662883171298,13.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,3.135399334619108,16.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,2.0,0.13503709568469913,10.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,2.1062994519528213,23.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,2.2247837674706386,37.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,3.1519837229904755,6.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,3.0,1.4825491937135715,42.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
0.0,2.0,0.5204380911817132,18.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.7866483970605669,0.8546165736406884,3.1519837229904755,0.13503709568469913,1.0006835542894654,0.05259991822637407,112.8,896.7600000000006,0.0
500.0,2.0,1.445146196413888,29.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,3.0,1.942780828261624,28.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,3.0,1.7220662883171298,13.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,3.0,3.135399334619108,16.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,2.0,0.9649629043153009,10.0,5.0,0.0,0.0,5.0,588.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,588.0
500.0,3.0,2.1062994519528213,23.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,3.0,2.2247837674706386,37.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,3.0,3.1519837229904755,6.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,3.0,1.4825491937135715,42.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,0.0
500.0,2.0,0.4204380911817133,18.0,5.0,0.0,0.0,5.0,540.0,5.0,5.0,1.6666483970605668,1.350895266060956,3.1519837229904755,0.9649629043153009,1.0006835542894654,0.05259991822637407,22.1,2001.69,540.0
1000.0,2.0,1.445146196413888,29.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.1666483970605672,4.233036019913465,3.1519837229904755,3.2149629043153007,1.0006835542894654,0.05259991822637407,0.0,0.0,0.0
1000.0,3.0,1.942780828261624,28.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.1666483970605672,4.233036019913465,3.1519837229904755,3.2149629043153007,1.0006835542894654,0.05259991822637407,0.0,0.0,0.0
